x,y
1.4296957342662342,-3.6390693017294726
1.2341343364092863,-3.626473529229135
1.0157796021105252,-3.5933065874875605
0.8144925128176232,-3.547933153744272
0.6039720340819643,-3.524727562813723
0.3845039475662897,-3.512275297930583
0.144593198992651,-3.4893883750790406
-0.039823181564919485,-3.480956454896204
-0.25336725957507866,-3.4773265108003137
-0.46033337592036494,-3.46559871260823
-0.6900879302132958,-3.4478007727254036
-0.8982006670879754,-3.429647472329311
-1.0990216365816443,-3.4100582881464296
-1.2997443144042056,-3.374538879782881
-1.4986488709714165,-3.3285325472469234
-1.7154580408398143,-3.2729211270035723
-1.9056771402947756,-3.2136175775821108
-2.075041864988287,-3.1554747120647213
-2.2918219549289076,-3.0904752775974007
-2.4885520961100545,-3.030654354463779
-2.6741772324563913,-2.9737469850392597
-2.8800139069189665,-2.919772943788686
-3.0536189888596907,-2.870675880557423
-3.2148322886611345,-2.83910534171816
-3.3756897975206313,-2.837843233633992
-3.552905875433699,-2.863851463852947
-3.7298197540216194,-2.924859746898331
-3.9190815702470454,-3.022182060992313
-4.103802258475397,-3.160667396774895
-4.28896259737868,-3.350184810156385
-4.4714587743326755,-3.5452924438535303
-4.616618492660781,-3.741297722800248
-4.746719574904517,-3.938281279712916
-4.852565565971261,-4.124343138463454
-4.922100381964852,-4.318668401191064
-4.969186497482416,-4.508355436993471
-4.98769579091775,-4.700256257717367
-4.987880082116284,-4.9005610568432525
-4.962637236528082,-5.101860534790137
-4.923035974908421,-5.304026052250917
-4.841932312785567,-5.5103000305171665
-4.73478061261868,-5.7270690366792945
-4.585953467028818,-5.944179202122735
-4.413369945171936,-6.171146180147979
-4.24101663744398,-6.366572073898896
-4.055058289636988,-6.531396536844738
-3.863464529127033,-6.6781044532290466
-3.6773282205226296,-6.829373625641503
-3.500710014525029,-6.962505186514442
-3.317093094333858,-7.099515786676026
-3.1298923848896822,-7.219247666392763
-2.9420997989513404,-7.333408209345292
-2.7493261178668873,-7.436349050050178
-2.5602122773656966,-7.532023522180296
-2.3664911282204284,-7.633240251583045
-2.1940737995473585,-7.7067781385904635
-2.192532678729649,-7.714179647379476
-2.1762122083471778,-7.725680815497226
-2.1490772039762476,-7.721778648562486
-1.9195822489725138,-7.585326072787366
-1.7041189442054359,-7.457457894101166
-1.4719186721044606,-7.335759639424513
-1.2469442752418542,-7.199400605387492
-1.0276537530881806,-7.072569826148663
-0.809110907593845,-6.982479266298896
-0.6150503342937639,-6.943247700238357
-0.39249220630205883,-6.928092570897599
-0.18260211373396773,-6.924397401624528
0.021061387087022876,-6.941224520234925
0.2137206217126577,-6.985593429996489
0.4106870350726237,-7.057127954781386
0.5952594000257472,-7.130346563360938
0.774823543177491,-7.201677774080284
0.9578531186770749,-7.27004932103527
1.1348143371839798,-7.352889408428762
1.3028004722361342,-7.4894446561579855
1.46069356165662,-7.6774823905304626
1.5999411308047078,-7.907452364340754
1.7266692548755231,-8.129368762173588
1.8178445381811486,-8.350394018208645
1.876141901291525,-8.5611864313658
1.9127259830471837,-8.768874285569247
1.9469901692601446,-8.981915106033908
1.9878853692674339,-9.180484896499147
2.0400839224704104,-9.387269813757266
2.055719756403872,-9.582638790894483
