x,y
1.4296957342662342,-2.115634332464754
1.2341343364092863,-2.0688343545800905
1.0157796021105252,-2.0070281375318433
0.8144925128176231,-1.942653499502337
0.6039720340819643,-1.8874504853122693
0.38450394756628975,-1.8357710238992673
0.14459319899265094,-1.7746404195643546
-0.03982318156491943,-1.7322305764975845
-0.2533672595750787,-1.6861891778115061
-0.460333375920365,-1.6374611925445115
-0.6900879302132957,-1.5809784964005396
-0.8982006670879753,-1.5288002871444555
-1.0990216365816443,-1.477414310466419
-1.2997443144042053,-1.41808357856967
-1.4986488709714163,-1.3538859298277188
-1.7154580408398143,-1.2811775704028716
-1.9056771402947756,-1.2121301302838199
-2.075041864988287,-1.1479821145473061
-2.2918219549289076,-1.070585770660714
-2.4885520961100545,-0.9999311627915004
-2.6741772324563913,-0.9330332535832371
-2.8800139069189665,-0.8634160618598632
-3.0536189888596907,-0.802912740525861
-3.214832288661135,-0.753739103499891
-3.3756897975206313,-0.7197933685682304
-3.552905875433699,-0.6960948322066282
-3.7298197540216194,-0.6899589097877478
-3.9190815702470454,-0.6994226612747712
-4.103802258475397,-0.7304084220085246
-4.28896259737868,-0.7868191669056006
-4.471458774332675,-0.8465767879663804
-4.616618492660781,-0.914515865418859
-4.746719574904517,-0.9860628275028068
-4.852565565971261,-1.0571723343667423
-4.922100381964852,-1.1399338338097158
-4.969186497482416,-1.2250254978874988
-4.9876957909177495,-1.317142508064018
-4.987880082116285,-1.4172567396700309
-4.962637236528082,-1.5231344431412346
-4.92303597490842,-1.6324188916965996
-4.841932312785567,-1.7523529992344293
-4.73478061261868,-1.8829293460357235
-4.585953467028818,-2.022307539833742
-4.413369945171935,-2.1715342465439815
-4.241016637443981,-2.30494273220983
-4.055058289636988,-2.4258681985318264
-3.8634645291270333,-2.538902523758624
-3.6773282205226296,-2.653087201701856
-3.500710014525029,-2.7562318102814314
-3.3170930943338583,-2.8627654196744037
-3.1298923848896827,-2.9614018959015938
-2.94209979895134,-3.057375285382246
-2.7493261178668873,-3.148770442321572
-2.5602122773656966,-3.235774437170659
-2.3664911282204284,-3.326503765519269
-2.194073799547358,-3.3989815069852405
-2.1925326787296493,-3.4030014379517226
-2.1762122083471778,-3.4121321020989615
-2.149077203976248,-3.4158008620443376
-1.919582248972514,-3.3951045355861527
-1.7041189442054363,-3.375794357757178
-1.4719186721044608,-3.363035481364325
-1.2469442752418542,-3.3414496875294133
-1.0276537530881806,-3.3234508520979635
-0.809110907593845,-3.3236672774547613
-0.615050334293764,-3.344242755115887
-0.39249220630205867,-3.3827584879607744
-0.18260211373396754,-3.424380564798963
0.0210613870870229,-3.47497421620438
0.2137206217126579,-3.5370597050343413
0.4106870350726237,-3.6136200472996314
0.5952594000257472,-3.6884555399908376
0.7748235431774909,-3.761310097055189
0.957853118677075,-3.8334025367763407
1.13481433718398,-3.9114724488329013
1.3028004722361344,-4.014541140412133
1.46069356165662,-4.141260737119849
1.5999411308047078,-4.285084839859306
1.7266692548755231,-4.4222892926378385
1.8178445381811486,-4.5516849401045665
1.8761419012915248,-4.669154925908598
1.9127259830471837,-4.780575664425402
1.9469901692601446,-4.894192419974274
1.9878853692674339,-5.001946988446384
2.0400839224704104,-5.1161501214119065
2.055719756403872,-5.217072897217642
